user_id,seq,type_seq
65372,"[460, 379, 91, 171]","[5, 10, 13, 17]"
18629,"[44, 141, 282, 113, 421, 64]","[9, 10, 3, 12, 17, 12]"
18182,"[258, 91, 264, 221, 431]","[9, 13, 9, 1, 1]"
42131,"[136, 192, 52, 194, 14, 364, 374, 86, 197, 113, 24, 151, 206, 202, 261, 203, 96, 222, 199, 198, 304, 201, 34, 196, 287, 123, 27, 138, 372, 295, 370, 392, 102, 379]","[17, 10, 10, 17, 8, 17, 13, 1, 9, 12, 7, 17, 18, 4, 5, 4, 5, 19, 1, 17, 7, 1, 1, 9, 4, 12, 7, 7, 18, 17, 17, 10, 10, 10]"
58604,"[120, 49, 44, 15]","[9, 9, 9, 7]"
78161,"[561, 61, 562, 1261]","[5, 5, 5, 5]"
68670,"[18, 201, 5, 79, 34, 47, 1, 69, 145, 147, 31, 117, 138, 50, 51]","[7, 1, 1, 1, 1, 7, 1, 7, 7, 5, 7, 5, 7, 7, 7]"
3247,"[323, 70, 256, 159, 309]","[4, 10, 10, 5, 5]"
52387,"[109, 193, 295, 5, 50, 91, 63]","[2, 4, 17, 1, 7, 13, 9]"
6817,"[336, 181, 240, 138, 431, 301, 288]","[9, 13, 13, 7, 1, 9, 1]"
23511,"[42, 120, 354, 283, 330, 168, 15, 18]","[7, 9, 12, 7, 7, 7, 7, 7]"
41012,"[173, 24, 168, 283, 354]","[7, 7, 7, 7, 12]"
17584,"[793, 949, 947, 948, 733, 873, 943, 944, 942]","[13, 13, 13, 13, 13, 13, 13, 13, 13]"
62442,"[14, 423, 151, 13]","[8, 17, 17, 8]"
71738,"[962, 1170, 1189, 964, 1171]","[15, 3, 15, 15, 15]"
20743,"[873, 944, 943, 733, 942]","[13, 13, 13, 13, 13]"
9877,"[893, 361, 890, 817]","[14, 5, 5, 14]"
59526,"[399, 185, 14, 91, 221]","[13, 10, 8, 13, 1]"
58645,"[573, 118, 389, 175, 127]","[14, 14, 3, 7, 4]"
25045,"[873, 942, 943, 944, 733]","[13, 13, 13, 13, 13]"
39003,"[69, 12, 47, 139, 143, 270, 138, 99, 170, 18]","[7, 7, 7, 15, 15, 5, 7, 7, 7, 7]"
34931,"[820, 877, 948, 793]","[13, 13, 13, 13]"
288,"[288, 156, 153, 71, 68, 5, 301, 243, 440, 55]","[1, 1, 1, 11, 5, 1, 9, 10, 9, 7]"
54078,"[139, 46, 143, 22, 150, 122, 147, 45, 71, 44, 236, 23, 33, 90, 70, 74]","[15, 15, 15, 11, 6, 11, 5, 1, 11, 9, 6, 7, 6, 9, 10, 11]"
5311,"[230, 138, 283, 24]","[6, 7, 7, 7]"
21179,"[950, 733, 942, 943, 944, 873]","[13, 13, 13, 13, 13, 13]"
5433,"[470, 532, 382, 531]","[9, 9, 9, 9]"
6248,"[111, 150, 33, 259]","[9, 6, 6, 6]"
